hh1,hh2,hh3,hh4,hh5d,hh5m,hh5y,hh6,hh7,hh9,hh10,hh11,hh12,hh13,hh14,hh15,hh16,hh17,hh18h,hh18m,hh19h,hh19m,sl1,sl9a,sl9b,sl9c,cd_flag,cl2a,cl2b,cl2c,cl2d,cl4,cl5,cl6,cl7a,cl7b,cl7c,cl7d,cl7e,cl7f,cl8,cl9,cl10a,cl10b,cl10c,cl10d,cl10e,cl10f,cl10g,cl12,cd2,cd3a,cd3b,cd3c,cd3d,cd3e,cd3f,cd3g,cd3h,cd3i,cd3j,cd3k,cd4,hc1a,hc1c,hc2,hc3,hc4,hc5,hc6,hc7,hc8a,hc8b,hc8c,hc8d,hc8e,hc8f,hc8g,hc8h,hc8i,hc8j,hc8k,hc8l,hc8m,hc8n,hc8o,hc8p,hc8q,hc9b,hc9c,hc9d,hc10,hc11,hc12,hc12a,hc12b,hc12c,hc12d,hc13,hc14a,hc14b,hc14c,hc14e,hc14f,hc14g,hc15,ws1,ws2,ws3,ws4,ws5,ws6,ws7a,ws7b,ws7c,ws7d,ws7e,ws7f,ws7x,ws7z,ws8,ws9,ws10,ws11,hw1,hw2,hw3a,hw3ba,hw3bb,hw3bc,hw4,hw5a,hw5ba,hw5bb,hw5bc,hhsex,ethnicity,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r,psu,stratum,hh_id
252,18,156,151,1,1,2014,1,3,1,3,6,1,1,1,1,152,4,14,35,15,10,2,2,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,2,1,2,2,2,1,2,2,2,2,97,1,2,36,33,33,7,1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,1,A,,,,,,,,12,2,NA,NA,1,1,1,A,,,NA,NA,,,,1,1,2,0.8027019507290222,0.35163033373018354,3,-0.27057543806934903,2,NA,NA,252,3,25218
252,19,157,151,3,1,2014,1,3,1,2,4,1,1,0,0,152,4,15,40,16,18,1,1,3,8,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,2,2,2,2,1,1,3,2,1,2,1,2,1,2,2,2,2,2,2,97,1,2,36,33,33,2,NA,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,1,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,,B,,NA,NA,,,,1,1,4,0.8027019507290222,0.8731861769317983,4,0.3800411108209992,3,NA,NA,252,3,25219
252,20,155,151,3,1,2014,1,3,1,1,2,0,0,0,0,152,4,14,30,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,1,1,36,33,33,7,1,1,2,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,1,A,,,,,,,,12,2,NA,NA,1,1,1,,B,,NA,NA,,,,1,1,1,0.8027019507290222,0.3104354676639801,3,-0.32196410898801164,2,NA,NA,252,3,25220
253,1,157,151,30,12,2013,2,3,1,1,2,0,0,0,0,152,11,15,15,15,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,2,36,34,33,7,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,3000,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,91,12,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,,B,,NA,NA,,,,1,2,0,1.4757908039176502,-0.7933920862327548,2,NA,NA,-0.42817573413783844,2,253,9,25301
253,2,155,151,30,12,2013,2,3,1,2,5,2,2,0,0,152,11,16,10,16,44,3,1,3,16,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,1,1,2,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,1,36,31,33,7,4,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1000,2,NA,2,NA,1,0,0,0,0,0,95,2,91,12,NA,NA,NA,2,,,,,,,,,95,NA,NA,NA,1,1,1,A,,,NA,NA,,,,1,2,0,1.4757908039176502,-0.9043976305545236,1,NA,NA,-0.5482769730142116,2,253,9,25302
253,3,155,151,29,12,2013,2,3,1,3,8,3,3,1,1,152,11,14,18,15,7,4,3,6,11,1,2,1,2,1,11,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,1,1,2,2,3,6,2,1,2,1,2,2,2,2,2,2,2,2,96,96,2,36,34,33,7,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,5000,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,91,12,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,,,C,NA,NA,,,,1,2,1,1.4757908039176502,-0.20902741924697985,2,NA,NA,0.20407124856361541,3,253,9,25303
253,4,157,151,29,12,2013,2,3,1,2,5,2,2,0,0,152,11,17,20,17,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,2,36,34,33,2,NA,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,4500,2,NA,2,NA,1,0,0,0,20,0,0,1,91,13,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,1,A,,,NA,NA,,,,1,2,3,1.4757908039176502,0.4153167617508745,4,NA,NA,0.8795736307305935,4,253,9,25304
253,5,155,151,30,12,2013,2,3,1,2,5,1,1,1,1,152,11,8,0,8,37,2,1,3,5,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,NA,1,2,1,2,2,2,1,4,3,1,1,2,1,2,2,1,1,2,1,2,1,96,96,2,36,31,33,7,4,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,5000,2,NA,2,NA,1,1,0,0,15,0,10,2,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,2,1,,B,,NA,NA,,,,1,2,2,1.4757908039176502,-0.37159989372231633,2,NA,NA,0.028177731613791515,3,253,9,25305
253,6,155,151,31,12,2013,2,3,1,2,5,2,2,0,0,152,11,8,45,9,28,1,1,5,16,1,1,1,2,2,14,2,2,2,1,NA,NA,NA,NA,2,NA,1,1,1,1,2,2,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,96,3,36,31,33,2,NA,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,1,20000,2,NA,2,NA,1,0,0,0,6,0,0,1,91,11,NA,NA,NA,2,,,,,,,,,12,2,NA,NA,1,1,2,,,,1,1,A,,,1,2,3,1.4757908039176502,0.9782020860723295,5,NA,NA,1.488581272730674,5,253,9,25306
253,7,156,151,30,12,2013,2,3,1,1,6,1,1,1,1,152,11,14,10,14,45,4,3,5,8,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,2,2,2,4,5,1,1,2,2,1,1,2,1,2,2,2,2,96,96,1,36,31,33,7,4,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,1,6000,2,NA,2,NA,2,NA,NA,NA,NA,NA,NA,2,91,13,NA,NA,NA,2,,,,,,,,,95,NA,NA,NA,6,NA,NA,,,,2,NA,,,,2,2,0,1.4757908039176502,-1.0709501680567262,1,NA,NA,-0.7284766757789265,1,253,9,25307
